Date,Valid_From,Valid_To,Conf_Level,Anchor ,Liq_Group
01/04/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
02/04/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
05/09/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
25/09/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
26/09/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
27/09/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
28/09/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
29/09/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
30/09/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
01/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
02/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
03/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
04/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
05/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
06/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
07/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
08/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
09/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
10/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
11/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
12/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
13/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
14/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
15/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
16/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
17/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
18/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
19/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
20/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
21/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
22/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
23/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
24/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
25/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
26/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
27/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
28/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
29/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
30/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
31/10/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
01/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
02/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
03/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
04/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
05/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
06/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
07/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
08/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
09/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
10/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
11/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
12/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
13/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
14/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
15/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
16/11/2008,07/06/2019,28/11/2021,92.69,1,PEQ01
